#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
activism.openworlds.info,suspend,false,false,No-QAnon blocklist,false
antivaxxer.icu,suspend,false,false,No-QAnon blocklist,false
auf1.eu,suspend,false,false,No-QAnon blocklist,false
bae.st,suspend,false,false,No-QAnon blocklist,false
bitcoinhackers.org,suspend,false,false,No-QAnon blocklist,false
bittube.video,suspend,false,false,No-QAnon blocklist,false
blob.cat,suspend,false,false,No-QAnon blocklist,false
brave.cafe,suspend,false,false,No-QAnon blocklist,false
brighteon.social,suspend,false,false,No-QAnon blocklist,false
cawfee.club,suspend,false,false,No-QAnon blocklist,false
censorship.icu,suspend,false,false,No-QAnon blocklist,false
charlestown.social,suspend,false,false,No-QAnon blocklist,false
communities.win,suspend,false,false,No-QAnon blocklist,false
controverse.tube,suspend,false,false,No-QAnon blocklist,false
counter.fedi.live,suspend,false,false,No-QAnon blocklist,false
detroitriotcity.com,suspend,false,false,No-QAnon blocklist,false
distrotoot.com,suspend,false,false,No-QAnon blocklist,false
djsumdog.com,suspend,false,false,No-QAnon blocklist,false
eveningzoo.club,suspend,false,false,No-QAnon blocklist,false
explosion.party,suspend,false,false,No-QAnon blocklist,false
fedi.club,suspend,false,false,No-QAnon blocklist,false
freeatlantis.com,suspend,false,false,No-QAnon blocklist,false
freespeech.fans,suspend,false,false,No-QAnon blocklist,false
freespeech.firedragonstudios.com,suspend,false,false,No-QAnon blocklist,false
freespeech.group,suspend,false,false,No-QAnon blocklist,false
freespeechextremist.com,suspend,false,false,No-QAnon blocklist,false
freetalklive.com,suspend,false,false,No-QAnon blocklist,false
freezepeach.xyz,suspend,false,false,No-QAnon blocklist,false
friendica.eskimo.com,suspend,false,false,No-QAnon blocklist,false
froth.zone,suspend,false,false,No-QAnon blocklist,false
fsebugoutzone.org,suspend,false,false,No-QAnon blocklist,false
fsmi.social,suspend,false,false,No-QAnon blocklist,false
gab.ai,suspend,false,false,No-QAnon blocklist,false
gab.com,suspend,false,false,No-QAnon blocklist,false
gameliberty.club,suspend,false,false,No-QAnon blocklist,false
gearlandia.haus,suspend,false,false,No-QAnon blocklist,false
gegenstimme.tv,suspend,false,false,No-QAnon blocklist,false
getindor.com,suspend,false,false,No-QAnon blocklist,false
girevik.su,suspend,false,false,No-QAnon blocklist,false
gitmo.life,suspend,false,false,No-QAnon blocklist,false
gleasonator.com,suspend,false,false,No-QAnon blocklist,false
glowers.club,suspend,false,false,No-QAnon blocklist,false
gomastodon.cz,suspend,false,false,No-QAnon blocklist,false
gorf.tube,suspend,false,false,No-QAnon blocklist,false
goyim.app,suspend,false,false,No-QAnon blocklist,false
iddqd.social,suspend,false,false,No-QAnon blocklist,false
itmslaves.com,suspend,false,false,No-QAnon blocklist,false
justicewarrior.social,suspend,false,false,No-QAnon blocklist,false
katiehopkinspolitical.icu,suspend,false,false,No-QAnon blocklist,false
kenfm.inter21.net,suspend,false,false,No-QAnon blocklist,false
kiwifarms.cc,suspend,false,false,No-QAnon blocklist,false
lain.com,suspend,false,false,No-QAnon blocklist,false
lanceur-alerte.tv,suspend,false,false,No-QAnon blocklist,false
leafposter.club,suspend,false,false,No-QAnon blocklist,false
liberdon.com,suspend,false,false,No-QAnon blocklist,false
libre.tube,suspend,false,false,No-QAnon blocklist,false
libre.video,suspend,false,false,No-QAnon blocklist,false
librenet.co.za,suspend,false,false,No-QAnon blocklist,false
m.cmx.im,suspend,false,false,No-QAnon blocklist,false
maindreieck-tv.de,suspend,false,false,No-QAnon blocklist,false
mastodon.derveni.org,suspend,false,false,No-QAnon blocklist,false
mastodon.soykaf.com,suspend,false,false,No-QAnon blocklist,false
melmc.nohost.me,suspend,false,false,No-QAnon blocklist,false
midnightride.rs,suspend,false,false,No-QAnon blocklist,false
mlpol.net,suspend,false,false,No-QAnon blocklist,false
mp-tube.de,suspend,false,false,No-QAnon blocklist,false
mstdn.io,suspend,false,false,No-QAnon blocklist,false
mu.zaitcev.nu,suspend,false,false,No-QAnon blocklist,false
neckbeard.xyz,suspend,false,false,No-QAnon blocklist,false
neogenesis.tv,suspend,false,false,No-QAnon blocklist,false
noagendasocial.com,suspend,false,false,No-QAnon blocklist,false
nocensoring.net,suspend,false,false,No-QAnon blocklist,false
nojack.easydns.ca,suspend,false,false,No-QAnon blocklist,false
norden.media,suspend,false,false,No-QAnon blocklist,false
ns.auction,suspend,false,false,No-QAnon blocklist,false
open.tube,suspend,false,false,No-QAnon blocklist,false
ourchristian.icu,suspend,false,false,No-QAnon blocklist,false
oursocialism.today,suspend,false,false,No-QAnon blocklist,false
paws.moe,suspend,false,false,No-QAnon blocklist,false
peertube.devinstance.de,suspend,false,false,No-QAnon blocklist,false
peertube.it,suspend,false,false,No-QAnon blocklist,false
peertube.narrativerry.xyz,suspend,false,false,No-QAnon blocklist,false
peertube.rage.lol,suspend,false,false,No-QAnon blocklist,false
peertube.se,suspend,false,false,No-QAnon blocklist,false
pieville.net,suspend,false,false,No-QAnon blocklist,false
pl.secretsealing.club,suspend,false,false,No-QAnon blocklist,false
pl.slash.cl,suspend,false,false,No-QAnon blocklist,false
plandemic.icu,suspend,false,false,No-QAnon blocklist,false
pleroma.bubbletea.dev,suspend,false,false,No-QAnon blocklist,false
pleroma.nobodyhasthe.biz,suspend,false,false,No-QAnon blocklist,false
pleroma.skyshanty.xyz,suspend,false,false,No-QAnon blocklist,false
pleroma.xmanifesto.club,suspend,false,false,No-QAnon blocklist,false
poa.st,suspend,false,false,No-QAnon blocklist,false
poast.org,suspend,false,false,No-QAnon blocklist,false
poast.tv,suspend,false,false,No-QAnon blocklist,false
political.icu,suspend,false,false,No-QAnon blocklist,false
posting.lolicon.rocks,suspend,false,false,No-QAnon blocklist,false
qoto.org,suspend,false,false,No-QAnon blocklist,false
rage.lol,suspend,false,false,No-QAnon blocklist,false
rayn.bo,suspend,false,false,No-QAnon blocklist,false
runtube.re,suspend,false,false,No-QAnon blocklist,false
sect.sunbutt.faith,suspend,false,false,No-QAnon blocklist,false
serv1.wiki-tube.de,suspend,false,false,No-QAnon blocklist,false
serv2.wiki-tube.de,suspend,false,false,No-QAnon blocklist,false
serv3.wiki-tube.de,suspend,false,false,No-QAnon blocklist,false
shitposter.club,suspend,false,false,No-QAnon blocklist,false
soap.sect.sunbutt.faith,suspend,false,false,No-QAnon blocklist,false
social.adamasnemesis.com,suspend,false,false,No-QAnon blocklist,false
social.ancreport.com,suspend,false,false,No-QAnon blocklist,false
social.berzs.xyz,suspend,false,false,No-QAnon blocklist,false
social.freetalklive.com,suspend,false,false,No-QAnon blocklist,false
social.handholding.io,suspend,false,false,No-QAnon blocklist,false
social.hendrixgames.com,suspend,false,false,No-QAnon blocklist,false
social.kyushojitsu.ca,suspend,false,false,No-QAnon blocklist,false
social.quodverum.com,suspend,false,false,No-QAnon blocklist,false
social.teci.world,suspend,false,false,No-QAnon blocklist,false
socnet.supes.com,suspend,false,false,No-QAnon blocklist,false
spinster.xyz,suspend,false,false,No-QAnon blocklist,false
swampfoxden.com,suspend,false,false,No-QAnon blocklist,false
tcode.kenfm.de,suspend,false,false,No-QAnon blocklist,false
thebag.social,suspend,false,false,No-QAnon blocklist,false
thecitizen.icu,suspend,false,false,No-QAnon blocklist,false
theduran.icu,suspend,false,false,No-QAnon blocklist,false
tmediatech.io,suspend,false,false,No-QAnon blocklist,false
troo.tube,suspend,false,false,No-QAnon blocklist,false
tube.apolut.net,suspend,false,false,No-QAnon blocklist,false
tube.kenfm.de,suspend,false,false,No-QAnon blocklist,false
tube.querdenken-711.de,suspend,false,false,No-QAnon blocklist,false
tube2.apolut.net,suspend,false,false,No-QAnon blocklist,false
tube4.apolut.net,suspend,false,false,No-QAnon blocklist,false
tv.mattchristiansenmedia.com,suspend,false,false,No-QAnon blocklist,false
tv.poa.st,suspend,false,false,No-QAnon blocklist,false
udongein.xyz,suspend,false,false,No-QAnon blocklist,false
unexpected.singleuser.club,suspend,false,false,No-QAnon blocklist,false
uuuu.bigguys.club,suspend,false,false,No-QAnon blocklist,false
varishangout.net,suspend,false,false,No-QAnon blocklist,false
video.nobodyhasthe.biz,suspend,false,false,No-QAnon blocklist,false
video.pure-isp.eu,suspend,false,false,No-QAnon blocklist,false
videos.lukesmith.xyz,suspend,false,false,No-QAnon blocklist,false
videos.martinezperspective.org,suspend,false,false,No-QAnon blocklist,false
vigilante.tv,suspend,false,false,No-QAnon blocklist,false
voicenews.icu,suspend,false,false,No-QAnon blocklist,false
weeaboo.space,suspend,false,false,No-QAnon blocklist,false
whitepositive.media,suspend,false,false,No-QAnon blocklist,false
wiki-tube.de,suspend,false,false,No-QAnon blocklist,false
wuwox.com,suspend,false,false,No-QAnon blocklist,false
xn--p1abe3d.xn--80asehdb,suspend,false,false,No-QAnon blocklist,false
yggdrasil.social,suspend,false,false,No-QAnon blocklist,false
